event_filename,input_data,use_threshold,transformation,normalization,adjacency_method,count
all.imp.txt,False,False,log,z_score,manhattan,0
all.imp.txt,False,False,log,z_score,minkowski,1
all.imp.txt,False,False,log,robust,manhattan,1
all.imp.txt,False,False,log,robust,minkowski,0
all.imp.txt,False,False,log,decimal_scaling,manhattan,0
all.imp.txt,False,False,log,decimal_scaling,minkowski,0
all.imp.txt,False,False,log,none,manhattan,0
all.imp.txt,False,False,log,none,minkowski,0
all.imp.txt,False,False,exponential,min_max,manhattan,4
all.imp.txt,False,False,exponential,min_max,minkowski,3
all.imp.txt,False,False,exponential,z_score,manhattan,0
all.imp.txt,False,False,exponential,z_score,minkowski,1
all.imp.txt,False,False,exponential,robust,manhattan,2
all.imp.txt,False,False,exponential,robust,minkowski,0
all.imp.txt,False,False,exponential,decimal_scaling,manhattan,2
all.imp.txt,False,False,exponential,decimal_scaling,minkowski,0
all.imp.txt,False,False,exponential,none,manhattan,2
all.imp.txt,False,False,exponential,none,minkowski,0
all.imp.txt,True,True,none,min_max,manhattan,1
all.imp.txt,True,True,none,min_max,minkowski,3
all.imp.txt,True,True,none,z_score,manhattan,0
all.imp.txt,True,True,none,z_score,minkowski,1
all.imp.txt,True,True,none,robust,manhattan,2
all.imp.txt,True,True,none,robust,minkowski,0
all.imp.txt,True,True,none,decimal_scaling,manhattan,0
all.imp.txt,True,True,none,decimal_scaling,minkowski,0
all.imp.txt,True,True,none,none,manhattan,2
all.imp.txt,True,True,none,none,minkowski,2
all.imp.txt,True,True,log,min_max,manhattan,1
all.imp.txt,True,True,log,min_max,minkowski,0
all.imp.txt,True,True,log,z_score,manhattan,0
all.imp.txt,True,True,log,z_score,minkowski,1
all.imp.txt,True,True,log,robust,manhattan,1
all.imp.txt,True,True,log,robust,minkowski,0
all.imp.txt,True,True,log,decimal_scaling,manhattan,0
all.imp.txt,True,True,log,decimal_scaling,minkowski,0
all.imp.txt,True,True,log,none,manhattan,0
all.imp.txt,True,True,log,none,minkowski,0
all.imp.txt,True,True,exponential,min_max,manhattan,4
all.imp.txt,True,True,exponential,min_max,minkowski,3
all.imp.txt,True,True,exponential,z_score,manhattan,0
all.imp.txt,True,True,exponential,z_score,minkowski,1
all.imp.txt,True,True,exponential,robust,manhattan,2
all.imp.txt,True,True,exponential,robust,minkowski,0
all.imp.txt,True,True,exponential,decimal_scaling,manhattan,2
all.imp.txt,True,True,exponential,decimal_scaling,minkowski,0
all.imp.txt,True,True,exponential,none,manhattan,2
all.imp.txt,True,True,exponential,none,minkowski,0
